"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is will get all information of all students","SUCCESS","2022-10-02T13:43:49.421+01:00[Europe/London]","0.0","2.34"
"First serenity test","Manual","PENDING","2022-10-02T13:43:51.802+01:00[Europe/London]","0.0","0.0"
"First serenity test","This is compromised","ERROR","2022-10-02T13:43:51.809+01:00[Europe/London]","0.0","0.02"
"First serenity test","This is skipped","IGNORED","2022-10-02T13:43:51.848+01:00[Europe/London]","0.0","0.01"
"First serenity test","This is pending","PENDING","2022-10-02T13:43:51.855+01:00[Europe/London]","0.0","0.0"
"First serenity test","Get all students","SUCCESS","2022-10-02T13:43:51.860+01:00[Europe/London]","0.0","2.57"
"First serenity test","This is failing test","FAILURE","2022-10-02T13:43:54.431+01:00[Europe/London]","0.0","0.11"
"Student CURD test","This will create a new student","SUCCESS","2022-10-02T13:43:57.745+01:00[Europe/London]","0.0","0.66"
"Student CURD test","Verify if student was created","SUCCESS","2022-10-02T13:43:58.405+01:00[Europe/London]","0.0","0.69"
"Student CURD test","Update the user and verify the updated information","SUCCESS","2022-10-02T13:43:59.101+01:00[Europe/London]","0.0","0.14"
"Student CURD test","Delete the student and verify if the student is deleted","SUCCESS","2022-10-02T13:43:59.238+01:00[Europe/London]","0.0","0.04"
